,season,week,code,name,unique_id,weekly_points,weekly_rank,weekly_percentile,seasonal_cumulative_points,seasonal_points,seasonal_rank,seasonal_percentile,all_time_cumulative_points
852,2018,1,ec7316ae,FiveThirtyEight Elo,538,19.6,1985.0,67.0,19.6,718.9,701,95,19.6
4045,2018,2,ec7316ae,FiveThirtyEight Elo,538,25.1,1944.0,64.0,44.7,718.9,701,95,44.7
7238,2018,3,ec7316ae,FiveThirtyEight Elo,538,-22.4,700.0,86.0,22.300000000000004,718.9,701,95,22.300000000000004
10431,2018,4,ec7316ae,FiveThirtyEight Elo,538,60.1,1882.0,60.0,82.4,718.9,701,95,82.4
13624,2018,5,ec7316ae,FiveThirtyEight Elo,538,40.1,1678.0,63.0,122.5,718.9,701,95,122.5
16817,2018,6,ec7316ae,FiveThirtyEight Elo,538,117.3,524.0,88.0,239.8,718.9,701,95,239.8
20010,2018,7,ec7316ae,FiveThirtyEight Elo,538,27.1,3465.0,20.0,266.90000000000003,718.9,701,95,266.90000000000003
23203,2018,8,ec7316ae,FiveThirtyEight Elo,538,133.7,1883.0,57.0,400.6,718.9,701,95,400.6
26396,2018,9,ec7316ae,FiveThirtyEight Elo,538,66.6,2211.0,51.0,467.20000000000005,718.9,701,95,467.20000000000005
29589,2018,10,ec7316ae,FiveThirtyEight Elo,538,-10.9,2254.0,48.0,456.30000000000007,718.9,701,95,456.30000000000007
32782,2018,11,ec7316ae,FiveThirtyEight Elo,538,-28.9,1870.0,56.0,427.4000000000001,718.9,701,95,427.4000000000001
35975,2018,12,ec7316ae,FiveThirtyEight Elo,538,109.4,1266.0,67.0,536.8000000000001,718.9,701,95,536.8000000000001
39168,2018,13,ec7316ae,FiveThirtyEight Elo,538,39.6,741.0,83.0,576.4000000000001,718.9,701,95,576.4000000000001
42361,2018,14,ec7316ae,FiveThirtyEight Elo,538,-73.6,2389.0,40.0,502.80000000000007,718.9,701,95,502.80000000000007
45554,2018,15,ec7316ae,FiveThirtyEight Elo,538,9.4,1016.0,73.0,512.2,718.9,701,95,512.2
48747,2018,16,ec7316ae,FiveThirtyEight Elo,538,102.9,1217.0,64.0,615.1,718.9,701,95,615.1
51940,2018,17,ec7316ae,FiveThirtyEight Elo,538,113.6,1567.0,46.0,728.7,718.9,701,95,728.7
